datetime,stock_code,news,aspect,sentiment
2023-01-02,NGS,"Fintel reports that Hoak Public Equities, LP, has filed a 13D/A form with the SEC disclosing ownership of 1,150,000 shares of Natural Gas Services Group, Inc. (NGS). This represents 9.2563% of the company.",Legal | Regulation,0
2023-01-02,PFX,"PhenixFIN (PFX) has been beaten down lately with too much selling pressure. While the stock has lost 10.3% over the past four weeks, there is light at the end of the tunnel as it is now in oversold territory and Wall Street analysts expect the company to report better ear",Stock Commentary,-1
2023-01-02,TYG,There's a disconnect setting up in the energy market that's a flashing yellow light for investors--particularly if you've been playing high-flying oil stocks in 2022.,Energy | Oil,0
2023-01-02,NVIV,"Malteries Soufflet, a branch of French agribusiness group InVivo, said on Monday it had signed an agreement to take over Belgian malthouse Castle Malting, one of the oldest producers of the beer ingredient in the world.",M&A | Investments,0
2023-01-02,FEN,There's a disconnect setting up in the energy market that's a flashing yellow light for investors--particularly if you've been playing high-flying oil stocks in 2022.,Energy | Oil,0
2023-01-02,NUVL,"Investors interested in Medical stocks should always be looking to find the best-performing companies in the group. DICE Therapeutics, Inc. (DICE) is a stock that can certainly grab the attention of many investors, but do its recent returns compare favorably to the sector",Stock Commentary,0
2023-01-02,ZH,"(RTTNews) - Zhihu Inc. (ZH), a Chinese online content community, said on Monday that has appointed Henry Dachuan Sha as its Chief Financial Officer, with immediate effect. Sha will replace Wei Sun, who has stepped down as CFO to pursue other business endeavors.",Personnel Change,0
2023-01-02,SCPH,"""When it comes to short-term investing or trading, they say """"the trend is your friend."""" And there's no denying that this is the most profitable strategy. But making sure of the sustainability of a trend to profit from it is easier said than done.""",General News | Opinion,0
2023-01-02,FRBK,"Fintel reports that Norcross George E Iii has filed a 13D/A form with the SEC disclosing ownership of 5,174,662 shares of Republic First Bancorp Inc (FRBK). This represents 8.1% of the company.In the last filing, dated Dec. 9, 2022, they reported owning 8.10% of the company, indi",Legal | Regulation,0
2023-01-02,IVVD,"Investors might want to bet on Invivyd, Inc. (IVVD), as it has been recently upgraded to a Zacks Rank #2 (Buy). This rating change essentially reflects an upward trend in earnings estimates -- one of the most powerful forces impacting stock prices.",Analyst Update,1
2023-01-02,ASR,"The Transportation group has plenty of great stocks, but investors should always be looking for companies that are outperforming their peers. Grupo Aeroportuario del Sureste (ASR) is a stock that can certainly grab the attention of many investors, but do its recent return",Stock Commentary,0
2023-01-02,BELFB,"For those looking to find strong Computer and Technology stocks, it is prudent to search for companies in the group that are outperforming their peers. Is Bel Fuse (BELFB) one of those stocks right now? By taking a look at the stock's year-to-date performance in compariso",Stock Commentary,0
2023-01-02,NUVL,"Investors interested in Medical stocks should always be looking to find the best-performing companies in the group. DICE Therapeutics, Inc. (DICE) is a stock that can certainly grab the attention of many investors, but do its recent returns compare favorably to the sector",Stock Commentary,0
2023-01-03,PBT,"In trading on Tuesday, oil &amp; gas exploration &amp; production shares were relative laggards, down on the day by about 4.7%. Helping drag down the group were shares of Petroleo Brasileiro, down about 9.9% and shares of Geopark down about 9% on the day. Also lagging the mar",Markets,-1
2023-01-03,NRXP,"Health care stocks were trending higher pre-bell Tuesday, with the Health Care Select Sector SPDR Fund (XLV) rising 0.3%. The Vanguard Health Care Index Fund (VHT) was recently inactive.",Markets,1
2023-01-03,SILO,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,SIDU,"Technology stocks were declining on Tuesday, with the Technology Select Sector SPDR Fund (XLK) falling 1.3% and the Philadelphia Semiconductor Index down 1.1% this afternoon.",Markets,-1
2023-01-03,SIDU,"Technology stocks pared a portion of their earlier declines Tuesday, with the Technology Select Sector SPDR Fund (XLK) falling 1.0% and the Philadelphia Semiconductor Index down by 1.2%.",Markets,-1
2023-01-03,AMAO,"FISHERS, IN/ ACCESSWIRE/ January 3, 2023/ American Acquisition Opportunity Inc.' s merger target company, Royalty Management Corporation, a sustainably driven, cash flow-oriented, royalty investment and development company, announced today that it has expanded its stake in one of its portfolio holdings, Ferrox Holdings Ltd. through a common stock issuance;...",M&A | Investments,0
2023-01-03,SY,"(RTTNews) - So-Young International Inc. (SY) announced its board has authorized an adjustment to the previously adopted Share Repurchase Program, increasing the aggregate value of shares that the company is authorized to repurchase under the program from $15 million to $25 millio",Company | Product News,0
2023-01-03,BITE,"""Alberto Ardura stated that, """"we thank Mr. Aguirre and Mr. Hiatt for their highly valued insight and leadership as the Company actively searches for a business combination in the restaurant industry since its founding and IPO in 2021."""" The Company will broaden its targets to include industries outside restaurant operations. Both Mr. Aguirre and Mr. Hiatt wish the...""",Politics,0
2023-01-03,NVX,"Australian shares fell on the first trading session of 2023 on Tuesday, while gold stocks were the only gainers buoyed by higher bullion prices.",Markets,-1
2023-01-03,ODV,"--Osisko Development Corp. is pleased to announce the results of an independent Feasibility Study prepared by BBA Engineering Ltd. in accordance with National Instrument 43-101? Standards of Disclosure for Mineral Projects for the Company's 100%- owned Cariboo Gold Project, located in central British Columbia. The Company intends to file the Technical...",Company | Product News,0
2023-01-03,KEP,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,KN,"In trading on Tuesday, shares of Knowles Corp (Symbol: KN) crossed above their 200 day moving average of $16.73, changing hands as high as $16.89 per share. Knowles Corp shares are currently trading up about 2.2% on the day. The chart below shows the one year performance of K",Stock Movement,1
2023-01-03,SANW,"Consumer stocks were mostly lower in Tuesday trading, with the Consumer Staples Select Sector SPDR Fund (XLP) and the Consumer Discretionary Select Sector SPDR Fund (XLY) both retreating about 0.5%.",Markets,0
2023-01-03,RTLPO,"--The Necessity Retail REIT, Inc. announced today that it intends to continue to pay dividends on its shares of Class A common stock at an annualized rate of $0.85 per share or $0.2125 per share on a quarterly basis. The Necessity Retail REIT, Inc. is a publicly traded real estate investment trust listed on the Nasdaq focused on acquiring and managing a diversified...",Dividend,0
2023-01-03,OTEC,"On December 30, 2022, OceanTech Acquisitions I Corp., a Delaware corporation, caused to be deposited $125,000 into the Company’ s Trust account for its public stockholders, representing $0.067 per public share, allowing the Company to extend the period of time it has to consummate its initial business combination by one month from January 2, 2022 to February 2,...",M&A | Investments,0
2023-01-03,PEGY,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,PROF,"""Most of us have heard the dictum """"the trend is your friend."""" And this is undeniably the key to success when it comes to short-term investing or trading. But it isn't easy to ensure the sustainability of a trend and profit from it.""",General News | Opinion,0
2023-01-03,RDHL,(RTTNews) - RedHill Biopharma Ltd. (RDHL) announced publication of positive data from a Phase 2 study of once-daily oral investigational RHB-107 in non-hospitalized symptomatic COVID-19 patients. The company said the study showed that RHB-107 successfully met the primary endpoint,Company | Product News,0
2023-01-03,ASLN,(RTTNews) - ASLAN Pharmaceuticals (ASLN) and Thermo Fisher Scientific Inc (TMO) announced a partnership to manufacture a high concentration formulation of eblasakimab for Phase 3 clinical trials. Thermo Fisher plans to commence manufacturing the new formulation in its commercial-,Company | Product News,-1
2023-01-03,PDI,I heard the same question from readers all through 2022: when will we back up the truck and start buying again?,General News | Opinion,0
2023-01-03,ATAT,"With thousands of stocks open for trading each day in the U.S stock market, how can investors identify those that are showing strength?",Markets,0
2023-01-03,OZKAP,"--Bank OZK announced its Board of Directors declared a quarterly cash dividend on the Bank’ s common stock of $0.34 per share, up $0.01, or 3.03% from the prior quarter. Bank OZK has increased its quarterly cash dividend on its common stock in each of the last fifty quarters.. Established in 1903, Bank OZK conducts banking operations with over 240 offices in eight...",Dividend,0
2023-01-03,TCPC,Here are five stocks added to the Zacks Rank #1 (Strong Buy) List today:&nbsp;,Stock Commentary,1
2023-01-03,SVRA,"Bargain hunters are wise to pay careful attention to insider buying, because although there are many various reasons for an insider to sell a stock, presumably the only reason they would use their hard-earned cash to make a purchase, is that they expect to make money. Today we",General News | Opinion,0
2023-01-03,SWKH,"Financial stocks turned narrowly higher again during Tuesday afternoon trading, with the NYSE Financial Index rising 0.3% while the Financial Select Sector SPDR Fund (XLF) was ahead 0.4%.",Markets,1
2023-01-03,SWKH,"Financial stocks have turned narrowly lower in afternoon trading, with the NYSE Financial Index sliding 0.3% while the Financial Select Sector SPDR Fund (XLF) was off 0.1%.",Markets,-1
2023-01-03,SWKH,(RTTNews) - SWK Holdings Corp. (SWKH) Tuesday named Jody Staggs as President and Chief Executive Officer. Staggs has been serving as interim CEO since September 2022.,Personnel Change,0
2023-01-03,SY,"Health care stocks were trending higher pre-bell Tuesday, with the Health Care Select Sector SPDR Fund (XLV) rising 0.3%. The Vanguard Health Care Index Fund (VHT) was recently inactive.",Markets,1
2023-01-03,THRX,"Bargain hunters are wise to pay careful attention to insider buying, because although there are many various reasons for an insider to sell a stock, presumably the only reason they would use their hard-earned cash to make a purchase, is that they expect to make money. Today we",General News | Opinion,0
2023-01-03,SJT,"In trading on Tuesday, oil &amp; gas exploration &amp; production shares were relative laggards, down on the day by about 4.7%. Helping drag down the group were shares of Petroleo Brasileiro, down about 9.9% and shares of Geopark down about 9% on the day. Also lagging the mar",Markets,-1
2023-01-03,SONX,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,TXMD,"Health care stocks were trending higher pre-bell Tuesday, with the Health Care Select Sector SPDR Fund (XLV) rising 0.3%. The Vanguard Health Care Index Fund (VHT) was recently inactive.",Markets,1
